name,path,sourceUrl,imageUrl,provider
石凯,assets/people/石凯.jpg,https://baike.baidu.com/item/%E7%9F%B3%E5%87%AF/23807943,"https://bkimg.cdn.bcebos.com/pic/e850352ac65c10385343f29b8d488413b07eca80236b?x-bce-process=image/format,f_auto",KCrush
师铭泽,assets/people/师铭泽.jpg,https://baike.baidu.com/item/%E5%B8%88%E9%93%AD%E6%B3%BD,"https://bkimg.cdn.bcebos.com/pic/728da9773912b31bb051a922194e217adab44aed4b3b?x-bce-process=image/format,f_auto",KCrush
施展,assets/people/施展.jpg,https://baike.baidu.com/item/%E6%96%BD%E5%B1%95/23280294,"https://bkimg.cdn.bcebos.com/pic/9213b07eca8065380cd73cc0358bb644ad3458822493?x-bce-process=image/format,f_auto",KCrush
宋继扬,assets/people/宋继扬.jpg,https://baike.baidu.com/item/%E5%AE%8B%E7%BB%A7%E6%89%AC,"https://bkimg.cdn.bcebos.com/pic/34fae6cd7b899e51c2b8060f4da7d933c8950df2?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
宋威龙,assets/people/宋威龙.jpg,https://zh.wikipedia.org/wiki/%E5%AE%8B%E5%A8%81%E9%BE%99,https://upload.wikimedia.org/wikipedia/commons/9/92/Song_Weilong_in_2016.jpg,ZH Wikipedia
宋文嘉,assets/people/宋文嘉.jpg,https://baike.baidu.com/item/%E5%AE%8B%E6%96%87%E5%98%89/5019313,"https://bkimg.cdn.bcebos.com/pic/f9198618367adab49f8d03de87d4b31c8601e4ca?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
宋亚轩,assets/people/宋亚轩.jpg,https://baike.baidu.com/item/%E5%AE%8B%E4%BA%9A%E8%BD%A9,"https://bkimg.cdn.bcebos.com/pic/a6efce1b9d16fdfaaf5134881bd99b5494eef01fcd04?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
孙滢皓,assets/people/孙滢皓.jpg,https://baike.baidu.com/item/%E5%AD%99%E6%BB%A2%E7%9A%93/55900142,"https://bkimg.cdn.bcebos.com/pic/d01373f082025aafa40feba0ccb4bc64034f78f0ac1d?x-bce-process=image/format,f_auto",KCrush
孙泽源,assets/people/孙泽源.jpg,https://zh.wikipedia.org/wiki/%E5%AD%AB%E6%BE%A4%E6%BA%90,https://upload.wikimedia.org/wikipedia/commons/2/24/%E5%AD%AB%E6%BE%A4%E6%BA%90Sun_Ze-yuan.jpg,ZH Wikipedia
唐九洲,assets/people/唐九洲.jpg,https://baike.baidu.com/item/%E5%94%90%E4%B9%9D%E6%B4%B2,"https://bkimg.cdn.bcebos.com/pic/11385343fbf2b211931324b27dd572380cd79023208b?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
田柾国,assets/people/田柾国.jpg,https://zh.wikipedia.org/wiki/%E6%9F%BE%E5%9B%BD,https://upload.wikimedia.org/wikipedia/commons/9/94/Jeon_Jung-kook_during_the_%22Boy_In_Luv%22_performance_at_SBS_Gayo_Daejeon%2C_25_December_2018_02.jpg,ZH Wikipedia
王安宇,assets/people/王安宇.jpg,https://baike.baidu.com/item/%E7%8E%8B%E5%AE%89%E5%AE%87,"https://bkimg.cdn.bcebos.com/pic/023b5bb5c9ea15ce36d3b6a86a562df33a87e9501441?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
王晨艺,assets/people/王晨艺.jpg,https://baike.baidu.com/view/6917612.htm,"https://bkimg.cdn.bcebos.com/pic/63d9f2d3572c11df2a041de36d2762d0f603c21d?x-bce-process=image/format,f_auto",KCrush
王大陆,assets/people/王大陆.jpg,https://zh.wikipedia.org/wiki/%E7%8E%8B%E5%A4%A7%E9%99%B8,https://upload.wikimedia.org/wikipedia/commons/9/9a/TaLu.jpg,ZH Wikipedia
汪东城,assets/people/汪东城.jpg,https://zh.wikipedia.org/wiki/%E6%B1%AA%E6%9D%B1%E5%9F%8E,https://upload.wikimedia.org/wikipedia/commons/f/f4/JIROWANG.jpg,ZH Wikipedia
王皓轩,assets/people/王皓轩.jpg,https://baike.baidu.com/subview/6535947/23042279.htm,"https://bkimg.cdn.bcebos.com/pic/9f2f070828381f30e92456efba555b086e061d955a62?x-bce-process=image/format,f_auto",KCrush
王鹤棣,assets/people/王鹤棣.jpg,https://zh.wikipedia.org/wiki/%E7%8E%8B%E9%B6%B4%E6%A3%A3,https://upload.wikimedia.org/wikipedia/commons/7/76/Dylan_Wang.jpg,ZH Wikipedia
王嘉尔,assets/people/王嘉尔.jpg,https://zh.wikipedia.org/wiki/%E7%8E%8B%E5%98%89%E7%88%BE,https://upload.wikimedia.org/wikipedia/commons/4/45/Jackson_Wang_at_a_mini_fanmeeting_outside_%22Show%21_Music_Core%22_studios%2C_1_June_2019_02.jpg,ZH Wikipedia
王俊凯,assets/people/王俊凯.jpg,https://zh.wikipedia.org/wiki/%E7%8E%8B%E4%BF%8A%E5%87%AF,https://upload.wikimedia.org/wikipedia/commons/2/25/%E3%80%90%E6%91%84%E4%BA%8E2017.12.19%E3%80%8A%E8%A7%A3%E5%BF%A7%E6%9D%82%E8%B4%A7%E5%BA%97%E3%80%8B%E5%B9%BF%E5%B7%9E%E8%B7%AF%E6%BC%94%E3%80%91_%E7%8E%8B%E4%BF%8A%E5%87%AF_%283%29.jpg,ZH Wikipedia
王凯,assets/people/王凯.jpg,https://en.wikipedia.org/wiki/Wang_Kai_(actor),https://upload.wikimedia.org/wikipedia/commons/0/04/2017%E5%B9%B48%E6%9C%8824%E6%97%A5_%E4%B8%8A%E6%B5%B7.jpg,EN Wikipedia
王琳凯,assets/people/王琳凯.jpg,https://zh.wikipedia.org/wiki/%E5%B0%8F%E9%AC%BC_(%E6%AD%8C%E6%89%8B),https://upload.wikimedia.org/wikipedia/commons/a/a5/Photo_of_Lil_Ghost_on_Fendi_activity%2C_2019-12-13.jpeg,ZH Wikipedia
